height_map envu: number_of_rows = 40, number_of_columns = 40
SERV_IP = 192.168 123
my_vehicle->iID = 868
P.y = 19.943445, Pt.y = 0.000000, Q.y = 19.943445, Qt.y = 0.000000, R.y = 19.943445, Rt.y = 0.000000, S.y = 19.943445, St.y = 0.000000
P.y = 19.934410, Pt.y = 0.000000, Q.y = 19.934410, Qt.y = 0.000000, R.y = 19.934410, Rt.y = 0.000000, S.y = 19.934410, St.y = 0.000000
P.y = 19.924706, Pt.y = 0.000000, Q.y = 19.924706, Qt.y = 0.000000, R.y = 19.924706, Rt.y = 0.000000, S.y = 19.924706, St.y = 0.000000
P.y = 19.914331, Pt.y = 0.000000, Q.y = 19.914331, Qt.y = 0.000000, R.y = 19.914331, Rt.y = 0.000000, S.y = 19.914331, St.y = 0.000000
P.y = 19.903288, Pt.y = 0.000000, Q.y = 19.903288, Qt.y = 0.000000, R.y = 19.903288, Rt.y = 0.000000, S.y = 19.903288, St.y = 0.000000
P.y = 19.891575, Pt.y = 0.000000, Q.y = 19.891575, Qt.y = 0.000000, R.y = 19.891575, Rt.y = 0.000000, S.y = 19.891575, St.y = 0.000000
P.y = 19.879192, Pt.y = 0.000000, Q.y = 19.879192, Qt.y = 0.000000, R.y = 19.879192, Rt.y = 0.000000, S.y = 19.879192, St.y = 0.000000
P.y = 19.866140, Pt.y = 0.000000, Q.y = 19.866140, Qt.y = 0.000000, R.y = 19.866140, Rt.y = 0.000000, S.y = 19.866140, St.y = 0.000000
P.y = 19.852419, Pt.y = 0.000000, Q.y = 19.852419, Qt.y = 0.000000, R.y = 19.852419, Rt.y = 0.000000, S.y = 19.852419, St.y = 0.000000
P.y = 19.838028, Pt.y = 0.000000, Q.y = 19.838028, Qt.y = 0.000000, R.y = 19.838028, Rt.y = 0.000000, S.y = 19.838028, St.y = 0.000000
P.y = 19.822968, Pt.y = 0.000000, Q.y = 19.822968, Qt.y = 0.000000, R.y = 19.822968, Rt.y = 0.000000, S.y = 19.822968, St.y = 0.000000
P.y = 19.807240, Pt.y = 0.000000, Q.y = 19.807240, Qt.y = 0.000000, R.y = 19.807240, Rt.y = 0.000000, S.y = 19.807240, St.y = 0.000000
P.y = 19.790842, Pt.y = 0.000000, Q.y = 19.790842, Qt.y = 0.000000, R.y = 19.790842, Rt.y = 0.000000, S.y = 19.790842, St.y = 0.000000
P.y = 19.773775, Pt.y = 0.000000, Q.y = 19.773775, Qt.y = 0.000000, R.y = 19.773775, Rt.y = 0.000000, S.y = 19.773775, St.y = 0.000000
P.y = 19.756039, Pt.y = 0.000000, Q.y = 19.756039, Qt.y = 0.000000, R.y = 19.756039, Rt.y = 0.000000, S.y = 19.756039, St.y = 0.000000
P.y = 19.737633, Pt.y = 0.000000, Q.y = 19.737633, Qt.y = 0.000000, R.y = 19.737633, Rt.y = 0.000000, S.y = 19.737633, St.y = 0.000000
P.y = 19.718557, Pt.y = 0.000000, Q.y = 19.718557, Qt.y = 0.000000, R.y = 19.718557, Rt.y = 0.000000, S.y = 19.718557, St.y = 0.000000
P.y = 19.698812, Pt.y = 0.000000, Q.y = 19.698812, Qt.y = 0.000000, R.y = 19.698812, Rt.y = 0.000000, S.y = 19.698812, St.y = 0.000000
P.y = 19.678398, Pt.y = 0.000000, Q.y = 19.678398, Qt.y = 0.000000, R.y = 19.678398, Rt.y = 0.000000, S.y = 19.678398, St.y = 0.000000
P.y = 19.657314, Pt.y = 0.000000, Q.y = 19.657314, Qt.y = 0.000000, R.y = 19.657314, Rt.y = 0.000000, S.y = 19.657314, St.y = 0.000000
P.y = 19.635561, Pt.y = 0.000000, Q.y = 19.635561, Qt.y = 0.000000, R.y = 19.635561, Rt.y = 0.000000, S.y = 19.635561, St.y = 0.000000
P.y = 19.613138, Pt.y = 0.000000, Q.y = 19.613138, Qt.y = 0.000000, R.y = 19.613138, Rt.y = 0.000000, S.y = 19.613138, St.y = 0.000000
P.y = 19.590048, Pt.y = 0.000000, Q.y = 19.590048, Qt.y = 0.000000, R.y = 19.590048, Rt.y = 0.000000, S.y = 19.590048, St.y = 0.000000
P.y = 19.566288, Pt.y = 0.000000, Q.y = 19.566288, Qt.y = 0.000000, R.y = 19.566288, Rt.y = 0.000000, S.y = 19.566288, St.y = 0.000000
P.y = 19.541859, Pt.y = 0.000000, Q.y = 19.541859, Qt.y = 0.000000, R.y = 19.541859, Rt.y = 0.000000, S.y = 19.541859, St.y = 0.000000
P.y = 19.516760, Pt.y = 0.000000, Q.y = 19.516760, Qt.y = 0.000000, R.y = 19.516760, Rt.y = 0.000000, S.y = 19.516760, St.y = 0.000000
P.y = 19.490992, Pt.y = 0.000000, Q.y = 19.490992, Qt.y = 0.000000, R.y = 19.490992, Rt.y = 0.000000, S.y = 19.490992, St.y = 0.000000
P.y = 19.464554, Pt.y = 0.000000, Q.y = 19.464554, Qt.y = 0.000000, R.y = 19.464554, Rt.y = 0.000000, S.y = 19.464554, St.y = 0.000000
P.y = 19.437447, Pt.y = 0.000000, Q.y = 19.437447, Qt.y = 0.000000, R.y = 19.437447, Rt.y = 0.000000, S.y = 19.437447, St.y = 0.000000
P.y = 19.409670, Pt.y = 0.000000, Q.y = 19.409670, Qt.y = 0.000000, R.y = 19.409670, Rt.y = 0.000000, S.y = 19.409670, St.y = 0.000000
P.y = 19.381224, Pt.y = 0.000000, Q.y = 19.381224, Qt.y = 0.000000, R.y = 19.381224, Rt.y = 0.000000, S.y = 19.381224, St.y = 0.000000
P.y = 19.352108, Pt.y = 0.000000, Q.y = 19.352108, Qt.y = 0.000000, R.y = 19.352108, Rt.y = 0.000000, S.y = 19.352108, St.y = 0.000000
